,POI,Do_Rejon,Czas_PrT,Czas_PuT
2,1.0,1.0,191.73977750159483,435.72763104991753
3,2.0,1.0,71.13152987323615,429.6838284493107
4,3.0,1.0,243.09789765201552,448.9739559823815
5,4.0,1.0,165.96210172992465,526.1186454821488
6,5.0,1.0,127.0216294588193,404.19550791016735
7,6.0,1.0,388.7992844290466,978.5317334029769
8,7.0,1.0,412.6810647582402,999999.0
9,8.0,1.0,125.96900583446138,451.4691076312614
10,9.0,1.0,62.73146435778579,263.99379842971234
11,10.0,1.0,63.81054209939469,444.10930997544654
12,11.0,1.0,91.10059132380992,274.82875850983567
13,12.0,1.0,78.50680782238533,246.85157304798886
14,13.0,1.0,80.48905595580364,89.45711258384772
15,14.0,1.0,131.1312476490994,297.259224668189
16,15.0,1.0,83.03147112257574,274.8493407448831
17,16.0,1.0,224.80708232729992,285.31128266562655
18,17.0,1.0,58.986838044515885,196.20510473411602
19,18.0,1.0,71.45639139335306,320.83519379748145
20,19.0,1.0,67.19722706904244,171.76265641854192
21,20.0,1.0,86.1949457637487,600.8965091460997
22,21.0,1.0,111.33043424125323,333.16998662486407
23,22.0,1.0,91.4630759827524,295.6553323281669
24,23.0,1.0,116.58475318238237,525.5251265868009
25,24.0,1.0,176.20238124232569,603.4643330659227
26,25.0,1.0,104.60206526858815,729.1610912933997
27,26.0,1.0,88.82259895671704,487.60994488141375
28,27.0,1.0,53.42306093565252,352.7787138380662
29,28.0,1.0,124.42612076448619,205.11905790046865
30,29.0,1.0,78.53021708857993,999999.0
31,30.0,1.0,108.00084651929724,288.8611388975788
32,31.0,1.0,79.30178592624716,416.157765290544
33,32.0,1.0,159.5769800224271,272.77223092323595
34,1.0,2.0,193.78864048597814,438.95963104991756
35,2.0,2.0,69.6030005948893,425.5288284493107
36,3.0,2.0,241.6729487483044,446.8439559823815
37,4.0,2.0,168.81974466457996,530.3316454821488
38,5.0,2.0,124.49869435846624,399.27450791016736
39,6.0,2.0,390.8481474134299,981.5637334029769
40,7.0,2.0,415.26418088587116,999999.0
41,8.0,2.0,125.70581141651411,452.61410763126145
42,9.0,2.0,63.13890963737002,264.45279842971235
43,10.0,2.0,64.57793591165483,444.56830997544654
44,11.0,2.0,92.7597751817012,276.5387585098357
45,12.0,2.0,79.27420163464548,248.56157304798887
46,13.0,2.0,80.05546140426013,88.31511258384772
47,14.0,2.0,130.9192164057307,296.99122466818903
48,15.0,2.0,85.3631348692598,276.5593407448831
49,16.0,2.0,227.7025464208347,289.52328266562654
50,17.0,2.0,58.453265188082504,195.063104734116
51,18.0,2.0,69.24524223799472,316.6801937974815
52,19.0,2.0,64.75711002601511,167.60765641854192
53,20.0,2.0,83.90362395765649,596.7415091460997
54,21.0,2.0,114.14721501661259,337.09298662486407
55,22.0,2.0,94.56433733968774,299.8683323281669
56,23.0,2.0,114.78555518672307,522.3881265868009
57,24.0,2.0,173.98749633831147,598.5433330659226
58,25.0,2.0,102.38718036457395,724.2400912933998
59,26.0,2.0,86.00701717101038,482.68894488141376
60,27.0,2.0,50.60747914994586,347.8577138380662
